Status,Localidade,People,Usuário,Tipo de acesso,Operadora,Número (Designação),Valor Fidelizado,Centro de custo,Velocidade,Data Ativação,Data Desativação,vd,Obs. Acesso
ATIVO,LOJA,433,VD433 - DSP PAULISTA MASP,DADOS,VIVO,110000160859990,,2004330000,0 MB,,,,
ATIVO,Não informado,433,VD433 - DSP PAULISTA MASP,MONITORA DADOS,VIVO,110000195046795,20,2004330000,,,,,
ATIVO,LOJA,433,VD433 - DSP PAULISTA MASP,VPN IP MPLS,VIVO,110003284412093,380,2004330000,10 MBPS,,,,
ATIVO,LOJA,433,VD433 - DSP PAULISTA MASP,INN,EMBRATEL,SPO_IP_83574,258.58,2004330000,4 MB,,,,DADOS
ATIVO,LOJA,432,VD432 - DSP PITUBA III,DADOS,VIVO,710000160322590,,2004320000,10 MB,,,,
ATIVO,Não informado,432,VD432 - DSP PITUBA III,VPN IP MPLS,VIVO,710000195097990,380,2004320000,10 MBPS,,,,
ATIVO,LOJA,432,VD432 - DSP PITUBA III,MONITORA DADOS,VIVO,716000142909690,50,2004320000,0 MB,,,,
ATIVO,LOJA,432,VD432 - DSP PITUBA III,INN,EMBRATEL,SDR_IP_30365,692.7,2004320000,4 MB,,,,2004320000
ATIVO,LOJA,430,VD430 - DSP SHOPPING INTERLAGOS I,MONITORA DADOS,VIVO,110000161656991,,2004300000,0 MB,,,,
ATIVO,Não informado,430,VD430 - DSP SHOPPING INTERLAGOS I,DADOS,VIVO,110000186256292,,2004300000,,,,,
ATIVO,Não informado,430,VD430 - DSP SHOPPING INTERLAGOS I,MONITORA DADOS,VIVO,110000196084594,20,2004300000,,,,,
ATIVO,LOJA,430,VD430 - DSP SHOPPING INTERLAGOS I,DADOS,VIVO,110005562033695,,2004300000,1 MB,,,,
ATIVO,Não informado,430,VD430 - DSP SHOPPING INTERLAGOS I,VPN IP MPLS,VIVO,110005631003893,380,2004300000,10 MBPS,,,,
ATIVO,Não informado,430,VD430 - DSP SHOPPING INTERLAGOS I,DADOS,VIVO,5631003893,,2004300000,,,,,
ATIVO,LOJA,429,VD429 - DSP SUMARE II,DADOS,VIVO,110000160980792,,2004290000,0 MB,,,,
ATIVO,Não informado,429,VD429 - DSP SUMARE II,DADOS,VIVO,110000189690997,43.34,2004290000,,,,,
ATIVO,Não informado,429,VD429 - DSP SUMARE II,MONITORA DADOS,VIVO,110000201887990,12.67,2004290000,,,,,
ATIVO,LOJA,429,VD429 - DSP SUMARE II,DADOS,VIVO,110003673567497,,2004290000,10 MB,,,,
ATIVO,Não informado,429,VD429 - DSP SUMARE II,VPN IP MPLS,VIVO,110003874962890,364.94,2004290000,10 MBPS,,,,
ATIVO,LOJA,429,VD429 - DSP SUMARE II,INN,EMBRATEL,SPO_IP_55636,304.97,2004290000,4 MB,,,,2004290000
